	20	22	24	26	28	30	32	34
1	0.184172287	0.488426581	0.861000719	1.571087955	1.688280067	2.35923659	1.18114944	0.949501142
2	0.19106215	0.90078048	1.606918236	2.828474959	3.510773895	3.553704042	2.969323547	1.576135561
3	0.536936727	4.077029691	3.11280012	2.936705419	4.347517703	6.424805105	5.025877425	2.173397362
4	0.196175229	1.201241351	3.659437744	1.660826068	3.464960991	1.71908013	1.309099488	0.224890189
5	0.258446331	0.707038006	2.28852552	2.298440209	2.18221554	2.526822926	2.84593474	1.153642416
6	0.652466712	1.423035848	3.338548847	3.303320216	4.007374234	6.298927763	3.537974768	0.990638467
7	0	1.420515808	3.861633389	3.607342178	2.731650791	2.63099543	1.634649447	0.700358102
8	0.433959864	1.312472725	2.24760864	3.474547024	2.930996396	3.928717679	3.257278081	1.902196501
9	0.487697311	1.422316895	4.368518652	5.27287494	6.758878609	7.627622683	6.648323505	2.232630919
10	0.182427684	3.692403576	2.789535256	1.585702404	1.648485831	1.482467762	2.533377706	2.205457579
11	0.668492608	3.167936318	3.4665772	2.976902665	2.602661517	1.987555571	1.846408798	0.92347318
12	0.216567982	2.832357872	2.521728148	2.06234626	2.695213721	4.480312677	2.476201106	0.909172222
13	0.836064229	2.028048848	3.09607724	5.320188644	7.06032136	6.532395793	4.191390958	1.971961937
14	0.583870048	0.930375096	2.571854889	2.866794873	4.565361051	4.715458418	3.690397604	2.138551161
15	0	0.548139814	2.452125885	7.108196375	23.72984697	11.27287596	1.281351651	0.349785197
16	0	1.546573678	1.633007677	2.456561783	4.026635822	4.022033774	3.860783877	1.233101346
17	0	0.234701551	0.546881672	1.36732457	2.586272529	4.484656521	5.582972357	3.498634745
18	0.124889292	0.47096646	1.215895772	1.642087546	2.441231182	3.069627849	1.905979477	0.307264505
19	0	0.255301007	0.730600437	3.000429549	4.647571164	6.770929047	5.452252639	2.3651159
20	0.197782767	0.5363231	0.625260473	1.582986513	2.879377137	4.348454401	3.41984193	3.901716131
