	25	26	27	28	29	30	31	32	33
1	35.53902636	0	3.178414791	2.549536228	78.61903377	7.31109779	90.97874598	7.073403242	34.09049905
2	3.734369765	0.507289742	8.363682649	3.772334855	141.5494407	10.29297871	127.7638979	11.94275257	46.30138705
3	2.610013408	0.803482297	6.191062286	5.079247009	197.2205382	19.76431954	175.5305087	15.34918136	47.6623531
4	3.32791682	0	7.004283524	4.568515014	126.0446132	12.89067842	120.0273778	8.185408363	26.67270544
5	3.66568527	1.409137849	5.376704093	2.804980324	60.63962238	9.828449594	132.9577445	10.34265159	34.50198559
6	4.080161994	1.266499147	5.616913479	3.965268029	63.70044317	8.693624427	68.88846482	6.72039696	11.84406808
7	4.443392091	2.26303451	8.092801084	3.799464164	86.00393949	9.823758401	102.6450611	6.249679249	21.63093217
8	2.715434516	0	2.060176759	1.795006435	47.14465753	8.234712158	92.81144249	9.601590903	32.60056616
9	4.034716948	1.25140199	4.718774034	3.450405646	54.32051493	10.13716483	113.2497407	10.11622908	52.91798721
10	3.085961446	1.305157659	2.152589749	2.739125876	61.93786541	16.96558231	81.63476283	8.499454874	22.24277921
11	3.874513856	0.994382935	5.452813862	3.950563071	85.53355214	10.02153108	102.32516	8.295411511	23.91001334
12	4.091616212	1.019330481	2.544607223	3.323836401	81.86596273	13.21613485	109.2631189	9.10036108	25.09769529
13	2.929424017	0	4.445857006	3.95921019	128.5856902	14.22971614	115.0082298	9.127158967	50.60907936
14	3.318923795	0	3.157464163	2.473872586	113.3106069	15.31574602	123.5203477	9.180067347	33.09145082
15	3.840350976	1.754567978	4.740936409	4.147024687	22.49072782	11.69867366	117.4373197	13.49356974	72.66905788
16	3.942043504	0	1.983870651	1.23623179	50.4516583	11.54487232	307.2342215	17.41731246	62.16013133
17	7.987038694	0	11.82920218	3.850518187	149.7677262	29.50963863	358.0650804	36.35831832	142.9668402
18	4.472376337	1.140555995	16.53329047	7.202293424	191.816614	15.20075031	147.8413693	9.579260202	28.59437918
19	2.666195691	0	3.941381479	2.682448154	92.13330749	13.36686481	144.4813929	9.888795004	64.33888197
20	4.647516427	0	3.195570423	3.223017391	22.93946053	14.57581781	156.6854252	0	0
